,Predator_next
0,0.732896785189434
1,0.5709327545967033
2,0.3870529117242295
3,0.22357485982466513
4,0.4175094165285486
5,0.7210130138838012
6,0.6911201033846704
7,0.7088547892231774
8,0.36268700379419494
9,0.8761574451763905
10,0.8328606838721855
11,0.7619433036159773
12,0.6228503033994541
13,0.7071009701034824
14,0.18748083074284877
15,0.282925545380409
16,0.6106154595358397
17,0.34517090618517493
18,0.5756170811750833
19,0.24499063081018982
20,0.4383651342573003
21,0.2976800460814141
22,0.5985459628250728
23,0.5544555946302016
24,0.5902629661168391
25,0.8474393326865377
26,0.8650849387526843
27,0.8270374711638288
28,0.4897857192692958
29,0.7668897027890741
30,0.37007724787379326
31,0.2289642020708779
32,0.7077828344246213
33,0.3603605984874344
34,0.2838337491284692
35,0.8113698439329711
36,0.4663183351236268
37,0.4306502033354409
38,0.7681740057948413
39,0.7724602302957264
40,0.2662454294976879
41,0.2808066936195443
42,0.31445326209140273
43,0.3147670136463682
44,0.8476864178010752
45,0.8571005048462695
46,0.587527555476059
47,0.597053936059719
48,0.46806163131003886
49,0.7243819797965374
50,0.4683393062989917
51,0.3833360268760372
52,0.5035937372164914
53,0.5156957810370142
54,0.8663355202376455
55,0.46814319575148383
56,0.8466516799515712
57,0.7538825317445418
58,0.3042557478370079
59,0.32574706427365696
60,0.39434869052009924
61,0.7814615982130304
62,0.21097848929507573
63,0.6989081462369084
64,0.3634415292882629
65,0.593765922495302
66,0.8536592017738988
67,0.5773907028820909
68,0.7512980657767738
69,0.48678178545843553
70,0.37566331394498564
71,0.8203523554110818
72,0.3933936887989261
73,0.3694473645625677
74,0.3358364925781427
75,0.6863686093687872
76,0.7509590356976871
77,0.34129586112249627
78,0.2240815498423107
79,0.5688371506815619
80,0.7042932451715925
81,0.32369491476622875
82,0.24974983914898996
83,0.6772296261496735
84,0.7529606358116864
85,0.18629591371367205
86,0.5602180966866231
87,0.7881657841295995
88,0.2524227311461262
89,0.32628395903342855
90,0.44211743775051643
91,0.19881996079073322
92,0.7298476108358724
93,0.37032802348848587
94,0.5092517846695411
95,0.5438169473765707
96,0.335066659172667
97,0.5333176410749725
98,0.4842088770736425
99,0.3794567344974295
100,0.7680021081096328
101,0.30408266685710394
102,0.32050886781633275
103,0.38681929739563103
104,0.3329683823991028
105,0.36235397343255155
106,0.25033728434945446
107,0.5376585671217043
108,0.4681340078496716
109,0.2426654930434783
110,0.3777237767300542
111,0.3947597923016768
112,0.32821271932009694
113,0.7304004717492565
114,0.3112234264331722
115,0.2570808133284301
116,0.3549926384664657
117,0.31131961709851413
118,0.3639847180650985
119,0.24202433684571473
120,0.5816636122936539
121,0.22887757716040213
122,0.42321134281398626
123,0.46405907247749034
124,0.5404898794030855
125,0.5045409050634538
126,0.5440665468951913
127,0.871198899167993
128,0.2754173375883542
129,0.5605593646788759
130,0.5899039958597149
131,0.46050308657620675
132,0.562053429337964
133,0.4018002579639782
134,0.43391911439958836
135,0.5241411982402874
136,0.2932661763469526
137,0.2949008596518638
138,0.29307425908269874
139,0.33875175807057983
140,0.8475693324384622
141,0.3300390688930255
142,0.6602990658480844
143,0.6567752389335749
144,0.33707179016955846
145,0.7481169390431003
146,0.13891493231040902
147,0.8659350169501128
148,0.5759008361811293
149,0.73346821387353
150,0.5818549794359802
151,0.4598490886333048
152,0.7322598688435911
153,0.5577259538355207
154,0.3730800219911153
155,0.27943824749443114
156,0.4167915738696175
157,0.8657998311445613
158,0.30966756456892275
159,0.5519402839579655
160,0.39492331494310107
161,0.8077029130479195
162,0.49572958638939646
163,0.6530870862164228
164,0.7660750723545989
165,0.782836888844456
166,0.619586898378269
167,0.4869669978223581
168,0.34952308678768007
169,0.6874336531820554
170,0.3251330548897089
171,0.40917421927886616
172,0.8410762945685808
173,0.4662950707007478
174,0.5173537851283929
175,0.7601663485212219
176,0.6688403971760329
177,0.17713411674864843
178,0.3775171436854405
179,0.27600649040964026
180,0.706126218651258
181,0.513016976580927
182,0.3216994403634989
183,0.7152536583006049
184,0.645179633053184
185,0.7009135002450577
186,0.5063587664743007
187,0.47882778078760785
188,0.37290686632629255
189,0.5653096759448797
190,0.38441686239735556
191,0.4760691841187692
192,0.707628336380389
193,0.5401527338968454
194,0.34829266806544174
195,0.621959922202979
196,0.5139688188768137
197,0.41243996131704136
198,0.4991687156090169
199,0.47496126261136246
200,0.726111141606445
201,0.3107200017023523
202,0.6176205394323672
203,0.5137547320271266
204,0.706611630812755
205,0.4547582119225819
206,0.2963459660368136
207,0.44231289282097486
208,0.2502448845388235
209,0.3576641862171607
210,0.6614349841577807
211,0.5487938130613811
212,0.2245578356270224
213,0.26650885057482665
214,0.2781127966026866
215,0.3663279121190157
216,0.4499531855118406
217,0.29573744396925133
218,0.3705855666747404
219,0.7276735895788001
220,0.5985128282690855
221,0.2668886067712659
222,0.7469100534351066
223,0.4016151436986921
224,0.7608672178279929
225,0.3901930628706462
226,0.4896490965175072
227,0.39588476468377914
228,0.5895872763064336
229,0.654746119099195
230,0.7970296526540231
231,0.6095953099270861
232,0.7812543435300461
233,0.21473407188271432
234,0.5701748637902607
235,0.5661427198904136
236,0.7224198991426084
237,0.41900743498424514
238,0.45998714100116
239,0.29800285721605296
240,0.6498787305892679
241,0.29866527128998716
242,0.3508602927124357
243,0.6783732347413127
244,0.7769034117967565
245,0.4387647959638207
246,0.3085599447084921
247,0.6865374799820562
248,0.39948191238473757
249,0.2997473300346879
250,0.42494155549286206
